房屋编号,城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,供暖
TJ2254224674014117888,天津,河北,建昌道,建湖里,30㎡,整租,南,1000元/月,NULL,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2090530140143484928,天津,南开,王顶堤,横江里,26㎡,整租,北,700元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2205530699082514432,天津,南开,王顶堤,林苑西里,11㎡,整租,南,800元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2263127511737311232,天津,武清,中信广场,师大公寓,67㎡,整租,南/北,800元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,4层,无,NULL,NULL,NULL,有,集中供暖
TJ2154254259711901696,天津,河西,挂甲寺,新城小区,29㎡,整租,西,1300元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2301264462164279296,天津,河北,新开河,吉泰花园,20㎡,合租,南,850元/月,季付价,5室,1厅,1卫,随时入住,11个月,随时可看,6,6层,无,NULL,民水,民电,有,集中供暖
TJ2255042233244336128,天津,津南,咸水沽,新丰里(津南区),60㎡,整租,南/北,800元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,NULL,NULL,有,集中供暖
TJ2304233433838125056,天津,塘沽,杭州道,京山道,63㎡,整租,南/北,1500元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2310612314862665728,天津,南开,向阳路,连心里,36㎡,整租,南,1100元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2308650923741675520,天津,塘沽,新河街,胡北小镇,65㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,22层,有,NULL,民水,民电,有,集中供暖
TJ2291956505039618048,天津,滨海新区,大港,荣华里(大港区),71㎡,整租,南/北,900元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,NULL,民电,有,集中供暖
TJ2292072564316438528,天津,开发区,第三大街,中盈小区,52㎡,整租,南/北,2000元/月,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,低楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2293985139149520896,天津,武清,下朱庄,君利花园,102㎡,整租,南/北,800元/月,NULL,2室,2厅,1卫,随时入住,NULL,需提前预约,中楼层,24层,有,NULL,民水,民电,有,集中供暖
TJ2288352028772278272,天津,南开,鼓楼街,尚佳新苑,22㎡,合租,南,1300元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,20,30层,有,NULL,民水,民电,有,NULL
TJ2060032361693200384,天津,开发区,第三大街,月荣轩,90㎡,整租,南/北,2200元/月,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,低楼层,30层,有,NULL,民水,民电,有,集中供暖
TJ2313522202500136960,天津,西青,张家窝,社会山Bigparty,7㎡,合租,北,890元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,5,18层,NULL,租用车位,NULL,NULL,NULL,NULL
TJ2295589515064524800,天津,和平,劝业场,福缘里,15㎡,整租,西,1000元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,高楼层,2层,无,NULL,NULL,NULL,有,集中供暖
TJ2287391288703582208,天津,塘沽,北塘街,联发欣悦学府,91㎡,整租,南/北,800元/月,NULL,3室,2厅,1卫,随时入住,NULL,需提前预约,高楼层,18层,有,NULL,民水,民电,有,集中供暖
TJ2256932625048944640,天津,河北,建昌道,红波西里,39㎡,整租,南,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2313820095392260096,天津,西青,张家窝,万科四季文园,15㎡,合租,北,930元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,8,8层,有,NULL,民水,民电,有,NULL
TJ2313747945503334400,天津,西青,张家窝,万科四季文园,6㎡,合租,北,830元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,2,8层,无,NULL,民水,民电,有,NULL
TJ2313746076060098560,天津,西青,张家窝,万科四季文园,8㎡,合租,北,890元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,2,8层,无,NULL,民水,民电,有,NULL
TJ2313599133274865664,天津,西青,张家窝,万科四季文园,13㎡,合租,南,960元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,2,8层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2213702687210881024,天津,西青,张家窝,保利金融街诺丁山,103㎡,整租,南/北,1000元/月,NULL,3室,1厅,2卫,随时入住,NULL,需提前预约,中楼层,24层,有,NULL,民水,民电,有,集中供暖
TJ2284012008686747648,天津,南开,万兴街,南丰里,15㎡,整租,南,1000元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2276825951012921344,天津,津南,柳林街,龙瀚南园,84㎡,整租,南,1000元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,28层,无,NULL,NULL,NULL,NULL,NULL
TJ2251809564678955008,天津,和平,南营门街,世昌里,30㎡,整租,北,1700元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2313715264442867712,天津,西青,张家窝,万科四季文园,13㎡,合租,南,930元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,2,8层,有,NULL,民水,民电,有,NULL
TJ2281622699539439616,天津,河西,陈塘庄,中海学府公馆,12㎡,合租,北,1080元/月,月付价,3室,1厅,1卫,随时入住,1年,随时可看,15,20层,有,NULL,民水,民电,有,NULL
TJ2313662334163763200,天津,河东,二号桥街,秀波园,14㎡,合租,南,1190元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,6,6层,NULL,租用车位,NULL,NULL,NULL,NULL
TJ2309177786624901120,天津,和平,新兴街,松乐里,35㎡,整租,西南,1800元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,NULL,NULL,有,集中供暖
TJ2135182874247438336,天津,和平,南营门街,大生里,41㎡,整租,南/北,2100元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2150448016576741376,天津,南开,向阳路,芥园里,31㎡,整租,南,1300元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2243384532328267776,天津,南开,王顶堤,盈江东里,33㎡,整租,南,1300元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2307669331330203648,天津,南开,广开街,吉安里,15㎡,合租,南,700元/月,月付价,3室,1厅,1卫,随时入住,1~12个月,随时可看,6,8层,有,NULL,民水,民电,有,集中供暖
TJ2313598574199308288,天津,河东,太阳城,路劲太阳城,15㎡,合租,南,1000元/月,月付价,3室,1厅,1卫,随时入住,3~12个月,随时可看,1,9层,无,免费使用,民水,民电,有,集中供暖
TJ2311556979455164416,天津,河东,唐家口,金色家园,15㎡,合租,南,1080元/月,月付价,3室,1厅,1卫,随时入住,10个月,随时可看,3,6层,无,免费使用,民水,民电,有,集中供暖
TJ2287607765373558784,天津,和平,体育馆街,津南里,16㎡,整租,南,1100元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,高楼层,4层,无,NULL,民水,民电,有,集中供暖
TJ2278239118264123392,天津,河西,小海地,三水南里,40㎡,整租,南,1400元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2207718560547995648,天津,蓟州,蓟县,东风里三段,49㎡,整租,南/北,800元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,3层,无,NULL,NULL,NULL,有,集中供暖
TJ2296314718312202240,天津,塘沽,新村街,拥政里,56㎡,整租,南/北,1500元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313727584539508736,天津,开发区,第五大街,弘景苑,25㎡,合租,南,1020元/月,季付价,3室,1厅,2卫,2019/8/3,1年,随时可看,18,29层,有,NULL,民水,民电,有,集中供暖
TJ2310794626920873984,天津,南开,长虹街,教师楼,12㎡,合租,南,601元/月,月付价,4室,1厅,1卫,随时入住,1~12个月,随时可看,6,6层,无,NULL,民水,民电,有,集中供暖
TJ2285251800850505728,天津,西青,华苑,程华里,10㎡,合租,北,900元/月,季付价,4室,1厅,2卫,随时入住,3~36个月,随时可看,2,6层,无,租用车位,民水,民电,有,集中供暖
TJ1957141490149105664,天津,塘沽,新河街,南益名士华庭,100㎡,整租,南/北,1000元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,26层,无,NULL,民水,民电,有,集中供暖
TJ2312352575959072768,天津,南开,王顶堤,凤园里,28㎡,整租,南,1300元/月,NULL,1室,1厅,1卫,随时入住,NULL,一般下班后可看,低楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2286826096030916608,天津,宝坻,宝坻,龙第世家花园,93㎡,整租,南/北,1300元/月,NULL,2室,2厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,有,NULL,民水,民电,有,集中供暖
TJ2302227606608543744,天津,河西,越秀路,爱国里,26㎡,整租,东南/北,1500元/月,NULL,2室,NULL,NULL,2019/8/10,NULL,需提前预约,低楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2273165149881761792,天津,南开,鼓楼街,尚佳新苑公寓,10㎡,合租,南,800元/月,月付价,5室,1厅,2卫,随时入住,6~12个月,随时可看,4,20层,有,NULL,民水,商电,有,NULL
TJ2313820324275429376,天津,河东,富民路,招商雍景湾,9㎡,合租,北,1160元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,8,24层,有,NULL,民水,民电,有,NULL
TJ2247697246663745536,天津,塘沽,新村街,正义里,40㎡,整租,南/北,1150元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2299308157023305728,天津,河西,尖山,平江北里,33㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,NULL,NULL,有,集中供暖
TJ2152038241723744256,天津,滨海新区,滨海其它,泰达星海湾,59㎡,整租,南,800元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,19层,无,NULL,民水,民电,有,集中供暖
TJ2313804415515238400,天津,河东,富民路,招商雍景湾,12㎡,合租,北,1230元/月,季付价,4室,1厅,2卫,随时入住,1年,随时可看,5,27层,有,NULL,民水,民电,有,NULL
TJ2163164933696012288,天津,武清,南湖,保利梧桐语,86㎡,整租,南/北,600元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,8层,无,NULL,民水,民电,有,集中供暖
TJ2126558552226545664,天津,滨海新区,大港,福源花园,91㎡,整租,南/北,1000元/月,NULL,2室,2厅,1卫,随时入住,NULL,需提前预约,高楼层,18层,有,NULL,民水,民电,有,集中供暖
TJ2278894143130574848,天津,武清,新湾,新湾花园北园,67㎡,整租,南,1000元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313761759183241216,天津,河东,太阳城,彩丽园,12㎡,合租,东,1090元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,1,6层,无,NULL,民水,民电,有,NULL
TJ2313116243978362880,天津,河东,太阳城,彩丽园,13㎡,合租,北,1130元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,4,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2279702928908894208,天津,和平,新兴街,振河里,37㎡,整租,西南,2000元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2295366421813149696,天津,和平,南营门街,电台道,29㎡,整租,南,2000元/月,NULL,1室,NULL,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2256239974381273088,天津,河北,建昌道,中山东里,44㎡,整租,南,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2313110241786462208,天津,河东,太阳城,彩丽园,14㎡,合租,北,1160元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,2,5层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2313759642545045504,天津,河东,太阳城,彩丽园,12㎡,合租,南,1030元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,2,6层,无,NULL,民水,民电,有,NULL
TJ2239079305067888640,天津,河西,马场街,金山里,26㎡,整租,南,900元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,NULL,民电,有,集中供暖
TJ2293316460103614464,天津,南开,王顶堤,保山南里,12㎡,整租,南,600元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,高楼层,4层,无,NULL,民水,民电,有,集中供暖
TJ2277390043260141568,天津,和平,体育馆街,重庆道,14㎡,整租,东,1100元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,未知,4层,无,NULL,民水,民电,有,集中供暖
TJ2313113536093487104,天津,河东,太阳城,彩丽园,10㎡,合租,北,1190元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,4,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2313141919569952768,天津,河东,太阳城,彩丽园,12㎡,合租,北,1160元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,4,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2242721481777741824,天津,东丽,东丽湖,北大资源阅府,83㎡,整租,南,600元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,25层,无,NULL,NULL,NULL,有,集中供暖
TJ2264459003205517312,天津,河东,万新村,远翠中里,44㎡,整租,南,1100元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2268017898453221376,天津,滨海新区,大港,建安里,69㎡,整租,南/北,900元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313761361404379136,天津,河东,太阳城,彩丽园,8㎡,合租,东,990元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,23,24层,有,NULL,民水,民电,有,NULL
TJ2313320030915534848,天津,河东,太阳城,彩丽园,10㎡,合租,南,1090元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,2,6层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2165137661818576896,天津,南开,王顶堤,林苑西里,55㎡,合租,南,1300元/月,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2293299682795069440,天津,和平,体育馆街,永安里(和平区),12㎡,整租,南,900元/月,NULL,1室,NULL,1卫,随时入住,NULL,需提前预约,高楼层,2层,无,NULL,NULL,NULL,NULL,NULL
TJ2284525568588251136,天津,河西,柳林街,宽福里,42㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313716436666679296,天津,津南,辛庄,华远波士顿,11㎡,合租,南,960元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,13,26层,有,NULL,民水,民电,有,NULL
TJ2313717023030919168,天津,津南,辛庄,华远波士顿,11㎡,合租,南,890元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,13,26层,有,NULL,民水,民电,有,NULL
TJ2249299355624275968,天津,和平,南营门街,天兴里,18㎡,整租,南,1300元/月,NULL,1室,NULL,NULL,随时入住,3年以内,需提前预约,中楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2297005052617310208,天津,津南,八里台,融创星耀五洲,80㎡,整租,南,600元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,33层,无,NULL,民水,民电,有,集中供暖
TJ2254046244479975424,天津,河西,尖山,光华里,30㎡,整租,南,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2309207709502939136,天津,南开,嘉陵道街,晴川大厦,32㎡,整租,西,1300元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,13层,有,NULL,民水,民电,有,集中供暖
TJ2313716436666679296,天津,津南,辛庄,华远波士顿,11㎡,合租,南,960元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,13,26层,有,NULL,民水,民电,有,NULL
TJ2136809329540734976,天津,和平,新兴街,迎春里(和平区),35㎡,整租,南,1500元/月,季付价,1室,NULL,1卫,随时入住,1年以内,需提前预约,高楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2313715267538534400,天津,津南,辛庄,华远波士顿,8㎡,合租,北,830元/月,季付价,4室,1厅,2卫,随时入住,1年,随时可看,14,26层,有,NULL,民水,民电,有,NULL
TJ2091194132960911360,天津,东丽,东丽湖,朗钜维尔蓝堤花园,74㎡,整租,南,550元/月,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,20层,有,NULL,民水,民电,有,集中供暖
TJ2308608299160829952,天津,开发区,第三大街,星缘轩,70㎡,整租,南/北,2340元/月,季付价,1室,1厅,1卫,随时入住,3个月以上,随时可看,1,2层,NULL,NULL,NULL,NULL,NULL,NULL
TJ2300495202801942528,天津,和平,南营门街,电台道,30㎡,整租,南,1900元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313511179769102336,天津,西青,华苑,程华里,15㎡,合租,南,750元/月,月付价,5室,1厅,1卫,随时入住,3~12个月,随时可看,4,6层,无,免费使用,民水,民电,有,集中供暖
TJ2209961702186033152,天津,河西,马场街,新闻里,32㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2256202963347308544,天津,塘沽,胡家园,恒盛尚海湾滨海,130㎡,整租,南/北,800元/月,NULL,3室,2厅,1卫,随时入住,NULL,需提前预约,低楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2165893572548116480,天津,和平,体育馆街,全胜里,15㎡,整租,南,1000元/月,季付价,1室,NULL,NULL,随时入住,2年以内,需提前预约,中楼层,3层,无,NULL,民水,民电,有,集中供暖
TJ2167342060049268736,天津,塘沽,北塘街,滨海航天城,144㎡,整租,南/北,1500元/月,NULL,4室,2厅,2卫,随时入住,NULL,需提前预约,低楼层,15层,有,NULL,民水,民电,有,集中供暖
TJ2291304914955550720,天津,北辰,北仓镇,荣悦园,83㎡,整租,南/北,700元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,27层,无,NULL,NULL,NULL,有,集中供暖
TJ2207127849578528768,天津,津南,辛庄,首创城,30㎡,合租,南,1000元/月,月付价,4室,1厅,2卫,随时入住,1~12个月,随时可看,33,34层,有,免费使用,民水,民电,有,集中供暖
TJ2297593693151952896,天津,滨海新区,汉沽,红霞里(汉沽区),61㎡,整租,南/北,1000元/月,NULL,2室,1厅,1卫,随时入住,NULL,一般下班后可看,高楼层,4层,有,NULL,民水,民电,有,集中供暖
TJ2265645552186703872,天津,东丽,万新街,昆仑里(东丽区),32㎡,整租,南/北,1100元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,未知,6层,无,NULL,民水,民电,有,集中供暖
TJ2283935433396060160,天津,河西,小海地,龙江里,57㎡,合租,南/北,1400元/月,季付价,2室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2286243594237124608,天津,河西,尖山,红云里,25㎡,整租,南,950元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,高楼层,4层,无,NULL,NULL,NULL,有,集中供暖
TJ2297630494814380032,天津,河西,小海地,汉江里,45㎡,整租,南,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2086840884619378688,天津,河西,马场街,生昌里,42㎡,整租,北,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,7层,无,NULL,民水,民电,有,集中供暖
TJ2301348575474892800,天津,河西,越秀路,惠州里,14㎡,整租,北,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313518281580871680,天津,河东,太阳城,丹荔园,16㎡,合租,南,1050元/月,月付价,4室,1厅,1卫,随时入住,1年,随时可看,5,6层,无,免费使用,民水,民电,有,集中供暖
TJ2298447034912612352,天津,河西,挂甲寺,景兴里,27㎡,整租,南,1300元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2312052092841771008,天津,红桥,铃铛阁,康华里,15㎡,合租,南,1050元/月,月付价,3室,1厅,1卫,随时入住,3个月,随时可看,7,13层,有,免费使用,民水,民电,有,集中供暖
TJ2300598409590996992,天津,南开,王顶堤,林苑东里,40㎡,整租,南,1300元/月,NULL,1室,1厅,1卫,随时入住,NULL,一般下班后可看,低楼层,8层,无,NULL,民水,民电,有,集中供暖
TJ2237444772225105920,天津,河西,小海地,桂江里(河西区),29㎡,整租,南,1200元/月,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2249114633635889152,天津,塘沽,新河街,四季风情（贻港新城）,51㎡,整租,北,1350元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,34层,有,NULL,民水,民电,有,集中供暖
TJ2273752460445089792,天津,南开,王顶堤,江川里,12㎡,合租,南,800元/月,月付价,4室,1厅,1卫,随时入住,6~12个月,随时可看,3,6层,无,NULL,民水,民电,有,NULL
TJ2304238894050181120,天津,南开,嘉陵道街,雅安西里,13㎡,合租,南,1000元/月,月付价,2室,1厅,1卫,随时入住,6~12个月,随时可看,4,6层,无,免费使用,民水,民电,有,集中供暖
TJ2313746618911817728,天津,西青,张家窝,万科四季博园,6㎡,合租,北,790元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,6,8层,有,NULL,民水,民电,有,NULL
TJ2313746467530997760,天津,西青,张家窝,万科四季博园,12㎡,合租,南,1030元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,8,8层,有,NULL,民水,民电,有,NULL
TJ2219440473423224832,天津,北辰,双街,城际美景家园,59㎡,整租,南,1000元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,29层,有,NULL,民水,民电,有,集中供暖
TJ2313746516998619136,天津,西青,张家窝,万科四季博园,13㎡,合租,南,990元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,6,8层,有,NULL,民水,民电,有,NULL
TJ2295643549099892736,天津,塘沽,新河街,漓江里(塘沽区),40㎡,整租,南/北,1400元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313746247498350592,天津,西青,张家窝,万科四季博园,13㎡,合租,南,990元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,8,8层,有,NULL,民水,民电,有,NULL
TJ2210181428636033024,天津,河北,月牙河,大江南里,41㎡,整租,东/西,950元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2293512089278349312,天津,河北,建昌道,建湖里,30㎡,整租,南,1100元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2062888518878756864,天津,红桥,丁字沽街,桃花园南里,19㎡,整租,北,900元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,中楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2273830546348457984,天津,津南,双港,合景御华园,110㎡,整租,南,1000元/月,季付价,3室,1厅,2卫,随时入住,3年以内,需提前预约,中楼层,11层,无,NULL,民水,民电,有,集中供暖
TJ2299315189318950912,天津,开发区,第五大街,合生·君景广场,57㎡,整租,北,1500元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,低楼层,14层,无,NULL,商水,商电,无,集中供暖
TJ2313748041066627072,天津,西青,张家窝,万科四季博园,6㎡,合租,北,790元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,8,8层,有,NULL,民水,民电,有,NULL
TJ2282569921911603200,天津,南开,向阳路,锦园里,25㎡,整租,南,1300元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,5层,无,NULL,民水,民电,有,集中供暖
TJ2313746675778461696,天津,西青,张家窝,万科四季博园,12㎡,合租,南,1030元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,6,8层,有,NULL,民水,民电,有,NULL
TJ2304080035558473728,天津,和平,新兴街,迎春里(和平区),23㎡,整租,东,1000元/月,NULL,1室,NULL,NULL,2019/8/5,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313748150126919680,天津,西青,张家窝,万科四季博园,8㎡,合租,北,890元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,6,8层,有,NULL,民水,民电,有,NULL
TJ2250563174875275264,天津,塘沽,新河街,四季风情（贻港新城）,54㎡,整租,南,1000元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,22层,有,NULL,民水,民电,有,集中供暖
TJ2297865242568564736,天津,津南,咸水沽,东旺家园,83㎡,整租,东/南,1000元/月,年付价,2室,1厅,1卫,随时入住,NULL,需提前预约,高楼层,20层,无,NULL,NULL,NULL,有,集中供暖
TJ2265808054866427904,天津,西青,杨柳青,青云里,39㎡,整租,南,1000元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2291190575359606784,天津,塘沽,新河街,四季风情（贻港新城）,50㎡,整租,西,1200元/月,NULL,1室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,34层,有,NULL,民水,民电,有,集中供暖
TJ2151858580045963264,天津,西青,张家窝,社会山南苑,120㎡,整租,南,1000元/月,NULL,3室,2厅,2卫,随时入住,NULL,需提前预约,高楼层,10层,有,NULL,民水,民电,有,集中供暖
TJ2313769070995963904,天津,西青,张家窝,万科四季博园,14㎡,合租,南,960元/月,季付价,3室,1厅,1卫,随时入住,1年,随时可看,2,8层,有,NULL,民水,民电,有,NULL
TJ2164290597891088384,天津,滨海新区,大港,重阳里,56㎡,整租,南/北,1000元/月,NULL,2室,1厅,1卫,随时入住,NULL,需提前预约,中楼层,6层,无,NULL,民水,民电,有,集中供暖
TJ2313746344881700864,天津,西青,张家窝,万科四季博园,8㎡,合租,北,890元/月,季付价,4室,1厅,1卫,随时入住,1年,随时可看,8,8层,有,NULL,民水,民电,有,NULL
TJ2287651243982077952,天津,南开,长虹街,闻喜里,36㎡,整租,北,1200元/月,NULL,1室,NULL,NULL,随时入住,NULL,需提前预约,高楼层,6层,无,NULL,民水,民电,有,集中供暖
